mes,geografia,duracion,rango edad,total personas,hombres,mujeres,fecha
1,eastern region,total unemployed,"total, 15 years and over",59,32,26,2001
1,eastern region,total unemployed, 15-64 years,59,32,26,2001
1,eastern region,total unemployed,  15-19,10,5,5,2001
1,eastern region,total unemployed,  20-24,11,7,4,2001
1,eastern region,total unemployed,  25-44,30,16,14,2001
1,eastern region,total unemployed,  45-54,5,2,2,2001
1,eastern region,total unemployed,  55-64,3,2,0,2001
1,eastern region,total unemployed,  65 years and over,0,0,0,2001
1,eastern region,   1 - 4 weeks,"total, 15 years and over",27,12,14,2001
1,eastern region,   1 - 4 weeks, 15-64 years,27,12,14,2001
1,eastern region,   1 - 4 weeks,  15-19,6,3,4,2001
1,eastern region,   1 - 4 weeks,  20-24,7,3,4,2001
1,eastern region,   1 - 4 weeks,  25-44,11,5,6,2001
1,eastern region,   1 - 4 weeks,  45-54,0,0,0,2001
1,eastern region,   1 - 4 weeks,  55-64,0,0,0,2001
1,eastern region,   1 - 4 weeks,  65 years and over,0,0,0,2001
1,eastern region,   5 - 13 weeks,"total, 15 years and over",20,14,7,2001
1,eastern region,   5 - 13 weeks, 15-64 years,20,14,7,2001
1,eastern region,   5 - 13 weeks,  15-19,3,2,0,2001
1,eastern region,   5 - 13 weeks,  20-24,3,3,0,2001
1,eastern region,   5 - 13 weeks,  25-44,12,8,5,2001
1,eastern region,   5 - 13 weeks,  45-54,2,0,0,2001
1,eastern region,   5 - 13 weeks,  55-64,0,0,0,2001
1,eastern region,   5 - 13 weeks,  65 years and over,0,0,0,2001
1,eastern region,   14 - 25 weeks,"total, 15 years and over",6,4,3,2001
1,eastern region,   14 - 25 weeks, 15-64 years,6,4,3,2001
1,eastern region,   14 - 25 weeks,  15-19,0,0,0,2001
1,eastern region,   14 - 25 weeks,  20-24,0,0,0,2001
1,eastern region,   14 - 25 weeks,  25-44,4,2,2,2001
1,eastern region,   14 - 25 weeks,  45-54,0,0,0,2001
1,eastern region,   14 - 25 weeks,  55-64,0,0,0,2001
1,eastern region,   14 - 25 weeks,  65 years and over,0,0,0,2001
1,eastern region,   26 weeks ,"total, 15 years and over",0,0,0,2001
1,eastern region,   26 weeks , 15-64 years,0,0,0,2001
1,eastern region,   26 weeks ,  15-19,0,0,0,2001
1,eastern region,   26 weeks ,  20-24,0,0,0,2001
1,eastern region,   26 weeks ,  25-44,0,0,0,2001
1,eastern region,   26 weeks ,  45-54,0,0,0,2001
1,eastern region,   26 weeks ,  55-64,0,0,0,2001
1,eastern region,   26 weeks ,  65 years and over,0,0,0,2001
1,eastern region,      27 - 51 weeks,"total, 15 years and over",0,0,0,2001
1,eastern region,      27 - 51 weeks, 15-64 years,0,0,0,2001
1,eastern region,      27 - 51 weeks,  15-19,0,0,0,2001
1,eastern region,      27 - 51 weeks,  20-24,0,0,0,2001
1,eastern region,      27 - 51 weeks,  25-44,0,0,0,2001
1,eastern region,      27 - 51 weeks,  45-54,0,0,0,2001
1,eastern region,      27 - 51 weeks,  55-64,0,0,0,2001
1,eastern region,      27 - 51 weeks,  65 years and over,0,0,0,2001
1,eastern region,      52 weeks,"total, 15 years and over",0,0,0,2001
1,eastern region,      52 weeks, 15-64 years,0,0,0,2001
1,eastern region,      52 weeks,  15-19,0,0,0,2001
1,eastern region,      52 weeks,  20-24,0,0,0,2001
1,eastern region,      52 weeks,  25-44,0,0,0,2001
1,eastern region,      52 weeks,  45-54,0,0,0,2001
1,eastern region,      52 weeks,  55-64,0,0,0,2001
1,eastern region,      52 weeks,  65 years and over,0,0,0,2001
1,eastern region,      53 weeks or more,"total, 15 years and over",2,0,0,2001
1,eastern region,      53 weeks or more, 15-64 years,2,0,0,2001
1,eastern region,      53 weeks or more,  15-19,0,0,0,2001
1,eastern region,      53 weeks or more,  20-24,0,0,0,2001
1,eastern region,      53 weeks or more,  25-44,0,0,0,2001
1,eastern region,      53 weeks or more,  45-54,0,0,0,2001
1,eastern region,      53 weeks or more,  55-64,0,0,0,2001
1,eastern region,      53 weeks or more,  65 years and over,0,0,0,2001
1,eastern region,   duration unknown,"total, 15 years and over",0,0,0,2001
1,eastern region,   duration unknown, 15-64 years,0,0,0,2001
1,eastern region,   duration unknown,  15-19,0,0,0,2001
1,eastern region,   duration unknown,  20-24,0,0,0,2001
1,eastern region,   duration unknown,  25-44,0,0,0,2001
1,eastern region,   duration unknown,  45-54,0,0,0,2001
1,eastern region,   duration unknown,  55-64,0,0,0,2001
1,eastern region,   duration unknown,  65 years and over,0,0,0,2001
1,eastern region,average unemployed nc,"total, 15 years and over",11,10,12,2001
1,eastern region,average unemployed nc, 15-64 years,11,10,12,2001
1,eastern region,average unemployed nc,  15-19,7,7,6,2001
1,eastern region,average unemployed nc,  20-24,7,9,3,2001
1,eastern region,average unemployed nc,  25-44,10,10,11,2001
1,eastern region,average unemployed nc,  45-54,31,22,40,2001
1,eastern region,average unemployed nc,  55-64,20,17,26,2001
1,eastern region,average unemployed nc,  65 years and over,13,13,0,2001
1,eastern region,average unemployed c99,"total, 15 years and over",10,10,10,2001
1,eastern region,average unemployed c99, 15-64 years,10,10,10,2001
1,eastern region,average unemployed c99,  15-19,7,7,6,2001
1,eastern region,average unemployed c99,  20-24,7,9,3,2001
1,eastern region,average unemployed c99,  25-44,10,10,11,2001
1,eastern region,average unemployed c99,  45-54,21,21,22,2001
1,eastern region,average unemployed c99,  55-64,20,17,26,2001
1,eastern region,average unemployed c99,  65 years and over,13,13,0,2001
1,central region,total unemployed,"total, 15 years and over",181,100,82,2001
1,central region,total unemployed, 15-64 years,180,99,81,2001
1,central region,total unemployed,  15-19,23,13,10,2001
1,central region,total unemployed,  20-24,20,14,6,2001
1,central region,total unemployed,  25-44,90,46,43,2001
1,central region,total unemployed,  45-54,33,19,14,2001
1,central region,total unemployed,  55-64,14,7,7,2001
1,central region,total unemployed,  65 years and over,2,0,0,2001
1,central region,   1 - 4 weeks,"total, 15 years and over",73,39,33,2001
1,central region,   1 - 4 weeks, 15-64 years,72,39,33,2001
1,central region,   1 - 4 weeks,  15-19,14,8,6,2001
1,central region,   1 - 4 weeks,  20-24,11,8,3,2001
1,central region,   1 - 4 weeks,  25-44,33,16,17,2001
1,central region,   1 - 4 weeks,  45-54,9,4,4,2001
1,central region,   1 - 4 weeks,  55-64,5,2,2,2001
1,central region,   1 - 4 weeks,  65 years and over,0,0,0,2001
1,central region,   5 - 13 weeks,"total, 15 years and over",54,29,25,2001
1,central region,   5 - 13 weeks, 15-64 years,54,29,25,2001
1,central region,   5 - 13 weeks,  15-19,5,3,2,2001
1,central region,   5 - 13 weeks,  20-24,6,4,2,2001
1,central region,   5 - 13 weeks,  25-44,28,14,14,2001
1,central region,   5 - 13 weeks,  45-54,11,6,4,2001
1,central region,   5 - 13 weeks,  55-64,4,2,2,2001
1,central region,   5 - 13 weeks,  65 years and over,0,0,0,2001
1,central region,   14 - 25 weeks,"total, 15 years and over",21,12,8,2001
1,central region,   14 - 25 weeks, 15-64 years,20,12,8,2001
1,central region,   14 - 25 weeks,  15-19,2,0,0,2001
1,central region,   14 - 25 weeks,  20-24,0,0,0,2001
1,central region,   14 - 25 weeks,  25-44,12,7,5,2001
1,central region,   14 - 25 weeks,  45-54,5,3,2,2001
1,central region,   14 - 25 weeks,  55-64,0,0,0,2001
1,central region,   14 - 25 weeks,  65 years and over,0,0,0,2001
1,central region,   26 weeks ,"total, 15 years and over",2,0,0,2001
1,central region,   26 weeks , 15-64 years,2,0,0,2001
1,central region,   26 weeks ,  15-19,0,0,0,2001
1,central region,   26 weeks ,  20-24,0,0,0,2001
1,central region,   26 weeks ,  25-44,0,0,0,2001
1,central region,   26 weeks ,  45-54,0,0,0,2001
1,central region,   26 weeks ,  55-64,0,0,0,2001
1,central region,   26 weeks ,  65 years and over,0,0,0,2001
1,central region,      27 - 51 weeks,"total, 15 years and over",9,5,4,2001
1,central region,      27 - 51 weeks, 15-64 years,9,5,4,2001
1,central region,      27 - 51 weeks,  15-19,0,0,0,2001
1,central region,      27 - 51 weeks,  20-24,0,0,0,2001
1,central region,      27 - 51 weeks,  25-44,5,2,2,2001
1,central region,      27 - 51 weeks,  45-54,3,2,0,2001
1,central region,      27 - 51 weeks,  55-64,0,0,0,2001
1,central region,      27 - 51 weeks,  65 years and over,0,0,0,2001
1,central region,      52 weeks,"total, 15 years and over",7,4,3,2001
1,central region,      52 weeks, 15-64 years,7,4,3,2001
1,central region,      52 weeks,  15-19,0,0,0,2001
1,central region,      52 weeks,  20-24,0,0,0,2001
1,central region,      52 weeks,  25-44,3,2,0,2001
1,central region,      52 weeks,  45-54,2,0,0,2001
1,central region,      52 weeks,  55-64,0,0,0,2001
1,central region,      52 weeks,  65 years and over,0,0,0,2001
1,central region,      53 weeks or more,"total, 15 years and over",9,6,3,2001
1,central region,      53 weeks or more, 15-64 years,9,6,3,2001
1,central region,      53 weeks or more,  15-19,0,0,0,2001
1,central region,      53 weeks or more,  20-24,0,0,0,2001
1,central region,      53 weeks or more,  25-44,4,2,0,2001
1,central region,      53 weeks or more,  45-54,3,2,0,2001
1,central region,      53 weeks or more,  55-64,2,0,0,2001
1,central region,      53 weeks or more,  65 years and over,0,0,0,2001
1,central region,   duration unknown,"total, 15 years and over",8,4,4,2001
1,central region,   duration unknown, 15-64 years,8,4,4,2001
1,central region,   duration unknown,  15-19,0,0,0,2001
1,central region,   duration unknown,  20-24,0,0,0,2001
1,central region,   duration unknown,  25-44,5,3,2,2001
1,central region,   duration unknown,  45-54,0,0,0,2001
1,central region,   duration unknown,  55-64,0,0,0,2001
1,central region,   duration unknown,  65 years and over,0,0,0,2001
1,central region,average unemployed nc,"total, 15 years and over",17,16,18,2001
1,central region,average unemployed nc, 15-64 years,17,16,18,2001
1,central region,average unemployed nc,  15-19,8,8,7,2001
1,central region,average unemployed nc,  20-24,7,7,6,2001
1,central region,average unemployed nc,  25-44,15,15,15,2001
1,central region,average unemployed nc,  45-54,28,26,30,2001
1,central region,average unemployed nc,  55-64,28,28,29,2001
1,central region,average unemployed nc,  65 years and over,7,12,5,2001
1,central region,average unemployed c99,"total, 15 years and over",15,15,14,2001
1,central region,average unemployed c99, 15-64 years,15,15,14,2001
1,central region,average unemployed c99,  15-19,8,8,7,2001
1,central region,average unemployed c99,  20-24,7,7,6,2001
1,central region,average unemployed c99,  25-44,14,15,13,2001
1,central region,average unemployed c99,  45-54,21,22,20,2001
1,central region,average unemployed c99,  55-64,25,26,23,2001
1,central region,average unemployed c99,  65 years and over,7,12,5,2001
1,western region,total unemployed,"total, 15 years and over",123,74,48,2001
1,western region,total unemployed, 15-64 years,122,74,48,2001
1,western region,total unemployed,  15-19,27,17,10,2001
1,western region,total unemployed,  20-24,19,13,6,2001
1,western region,total unemployed,  25-44,48,28,20,2001
1,western region,total unemployed,  45-54,20,11,8,2001
1,western region,total unemployed,  55-64,8,5,3,2001
1,western region,total unemployed,  65 years and over,0,0,0,2001
1,western region,   1 - 4 weeks,"total, 15 years and over",45,27,18,2001
1,western region,   1 - 4 weeks, 15-64 years,45,27,18,2001
1,western region,   1 - 4 weeks,  15-19,12,7,5,2001
1,western region,   1 - 4 weeks,  20-24,8,5,3,2001
1,western region,   1 - 4 weeks,  25-44,17,10,7,2001
1,western region,   1 - 4 weeks,  45-54,6,3,3,2001
1,western region,   1 - 4 weeks,  55-64,2,0,0,2001
1,western region,   1 - 4 weeks,  65 years and over,0,0,0,2001
1,western region,   5 - 13 weeks,"total, 15 years and over",39,25,14,2001
1,western region,   5 - 13 weeks, 15-64 years,39,25,14,2001
1,western region,   5 - 13 weeks,  15-19,9,6,3,2001
1,western region,   5 - 13 weeks,  20-24,7,5,2,2001
1,western region,   5 - 13 weeks,  25-44,14,8,6,2001
1,western region,   5 - 13 weeks,  45-54,6,4,2,2001
1,western region,   5 - 13 weeks,  55-64,3,2,0,2001
1,western region,   5 - 13 weeks,  65 years and over,0,0,0,2001
1,western region,   14 - 25 weeks,"total, 15 years and over",18,11,7,2001
1,western region,   14 - 25 weeks, 15-64 years,18,11,7,2001
1,western region,   14 - 25 weeks,  15-19,3,2,0,2001
1,western region,   14 - 25 weeks,  20-24,2,0,0,2001
1,western region,   14 - 25 weeks,  25-44,8,4,3,2001
1,western region,   14 - 25 weeks,  45-54,4,2,2,2001
1,western region,   14 - 25 weeks,  55-64,2,0,0,2001
1,western region,   14 - 25 weeks,  65 years and over,0,0,0,2001
1,western region,   26 weeks ,"total, 15 years and over",0,0,0,2001
1,western region,   26 weeks , 15-64 years,0,0,0,2001
1,western region,   26 weeks ,  15-19,0,0,0,2001
1,western region,   26 weeks ,  20-24,0,0,0,2001
1,western region,   26 weeks ,  25-44,0,0,0,2001
1,western region,   26 weeks ,  45-54,0,0,0,2001
1,western region,   26 weeks ,  55-64,0,0,0,2001
1,western region,   26 weeks ,  65 years and over,0,0,0,2001
1,western region,      27 - 51 weeks,"total, 15 years and over",6,3,3,2001
1,western region,      27 - 51 weeks, 15-64 years,6,3,3,2001
1,western region,      27 - 51 weeks,  15-19,2,0,0,2001
1,western region,      27 - 51 weeks,  20-24,0,0,0,2001
1,western region,      27 - 51 weeks,  25-44,2,0,0,2001
1,western region,      27 - 51 weeks,  45-54,0,0,0,2001
1,western region,      27 - 51 weeks,  55-64,0,0,0,2001
1,western region,      27 - 51 weeks,  65 years and over,0,0,0,2001
1,western region,      52 weeks,"total, 15 years and over",5,3,2,2001
1,western region,      52 weeks, 15-64 years,5,3,2,2001
1,western region,      52 weeks,  15-19,0,0,0,2001
1,western region,      52 weeks,  20-24,0,0,0,2001
1,western region,      52 weeks,  25-44,2,2,0,2001
1,western region,      52 weeks,  45-54,0,0,0,2001
1,western region,      52 weeks,  55-64,0,0,0,2001
1,western region,      52 weeks,  65 years and over,0,0,0,2001
1,western region,      53 weeks or more,"total, 15 years and over",5,3,2,2001
1,western region,      53 weeks or more, 15-64 years,5,3,2,2001
1,western region,      53 weeks or more,  15-19,0,0,0,2001
1,western region,      53 weeks or more,  20-24,0,0,0,2001
1,western region,      53 weeks or more,  25-44,3,2,2,2001
1,western region,      53 weeks or more,  45-54,0,0,0,2001
1,western region,      53 weeks or more,  55-64,0,0,0,2001
1,western region,      53 weeks or more,  65 years and over,0,0,0,2001
1,western region,   duration unknown,"total, 15 years and over",4,2,0,2001
1,western region,   duration unknown, 15-64 years,4,2,0,2001
1,western region,   duration unknown,  15-19,0,0,0,2001
1,western region,   duration unknown,  20-24,0,0,0,2001
1,western region,   duration unknown,  25-44,0,0,0,2001
1,western region,   duration unknown,  45-54,0,0,0,2001
1,western region,   duration unknown,  55-64,0,0,0,2001
1,western region,   duration unknown,  65 years and over,0,0,0,2001
1,western region,average unemployed nc,"total, 15 years and over",17,17,17,2001
1,western region,average unemployed nc, 15-64 years,16,16,17,2001
1,western region,average unemployed nc,  15-19,9,8,11,2001
1,western region,average unemployed nc,  20-24,13,13,13,2001
1,western region,average unemployed nc,  25-44,20,19,21,2001
1,western region,average unemployed nc,  45-54,23,27,18,2001
1,western region,average unemployed nc,  55-64,13,10,17,2001
1,western region,average unemployed nc,  65 years and over,87,122,16,2001
1,western region,average unemployed c99,"total, 15 years and over",14,14,15,2001
1,western region,average unemployed c99, 15-64 years,14,14,15,2001
1,western region,average unemployed c99,  15-19,9,8,11,2001
1,western region,average unemployed c99,  20-24,12,12,12,2001
1,western region,average unemployed c99,  25-44,17,17,17,2001
1,western region,average unemployed c99,  45-54,17,17,18,2001
1,western region,average unemployed c99,  55-64,13,10,17,2001
1,western region,average unemployed c99,  65 years and over,54,74,16,2001
1,northern region,total unemployed,"total, 15 years and over",35,23,13,2001
1,northern region,total unemployed, 15-64 years,35,23,13,2001
1,northern region,total unemployed,  15-19,7,4,3,2001
1,northern region,total unemployed,  20-24,4,3,0,2001
1,northern region,total unemployed,  25-44,17,11,6,2001
1,northern region,total unemployed,  45-54,5,3,2,2001
1,northern region,total unemployed,  55-64,2,0,0,2001
1,northern region,total unemployed,  65 years and over,0,0,0,2001
1,northern region,   1 - 4 weeks,"total, 15 years and over",12,7,4,2001
1,northern region,   1 - 4 weeks, 15-64 years,12,7,4,2001
1,northern region,   1 - 4 weeks,  15-19,3,2,0,2001
1,northern region,   1 - 4 weeks,  20-24,2,0,0,2001
1,northern region,   1 - 4 weeks,  25-44,5,4,2,2001
