fecha,geografia,nivel_educativo,valor
2001,canada,all levels of education,7.4
2001,canada,less than high school,15.9
2001,canada,high school,8.3
2001,canada,college or trade,6.3
2001,canada,university,5.5
2001,newfoundland and labrador,all levels of education,17.2
2001,newfoundland and labrador,less than high school,32.6
2001,newfoundland and labrador,high school,19.1
2001,newfoundland and labrador,college or trade,16.9
2001,newfoundland and labrador,university,3.6654545454545446
2001,prince edward island,all levels of education,14.9
2001,prince edward island,less than high school,33.7
2001,prince edward island,high school,21.8
2001,prince edward island,college or trade,8.9
2001,prince edward island,university,3.6654545454545446
2001,nova scotia,all levels of education,9.5
2001,nova scotia,less than high school,17.1
2001,nova scotia,high school,10.5
2001,nova scotia,college or trade,9.7
2001,nova scotia,university,5.7
2001,new brunswick,all levels of education,10.6
2001,new brunswick,less than high school,33.5
2001,new brunswick,high school,14.2
2001,new brunswick,college or trade,7.3
2001,new brunswick,university,3.6654545454545446
2001,quebec,all levels of education,8.5
2001,quebec,less than high school,18.7
2001,quebec,high school,9.6
2001,quebec,college or trade,7.1
2001,quebec,university,5.7
2001,ontario,all levels of education,6.9
2001,ontario,less than high school,12.1
2001,ontario,high school,7.7
2001,ontario,college or trade,6.1
2001,ontario,university,6.0
2001,manitoba,all levels of education,5.2
2001,manitoba,less than high school,13.1
2001,manitoba,high school,4.5
2001,manitoba,college or trade,4.1
2001,manitoba,university,4.8
2001,saskatchewan,all levels of education,6.7
2001,saskatchewan,less than high school,13.718181818181815
2001,saskatchewan,high school,8.2
2001,saskatchewan,college or trade,5.9
2001,saskatchewan,university,3.6654545454545446
2001,alberta,all levels of education,4.7
2001,alberta,less than high school,9.9
2001,alberta,high school,5.5
2001,alberta,college or trade,3.6
2001,alberta,university,3.7
2001,british columbia,all levels of education,7.9
2001,british columbia,less than high school,20.8
2001,british columbia,high school,9.0
2001,british columbia,college or trade,5.7
2001,british columbia,university,5.4
2002,canada,all levels of education,8.0
2002,canada,less than high school,15.7
2002,canada,high school,9.5
2002,canada,college or trade,6.8
2002,canada,university,5.8
2002,newfoundland and labrador,all levels of education,20.6
2002,newfoundland and labrador,less than high school,40.8
2002,newfoundland and labrador,high school,24.5
2002,newfoundland and labrador,college or trade,19.4
